id_,methodAnonymousClassesQty,methodAssignmentsQty,methodCbo,methodComparisonsQty,methodLambdasQty,methodLoc,methodLoopQty,methodMathOperationsQty,methodMaxNestedBlocks,methodNumbersQty,methodParametersQty,methodParenthesizedExpsQty,methodReturnQty,methodRfc,methodStringLiteralsQty,methodSubClassesQty,methodTryCatchQty,methodUniqueWordsQty,methodVariablesQty,methodWmc,bugFixCount,refactoringsInvolved
70219,1,29,37,0,0,175,0,3,3,3,0,0,3,52,30,0,6,132,7,39,5,0
30716,0,30,14,2,0,84,3,1,6,1,3,3,1,33,2,0,0,48,14,23,29,13
87878,0,30,3,2,0,81,2,7,7,14,3,0,3,25,14,0,2,36,20,20,0,0
50786,4,55,14,1,0,150,1,34,4,55,0,9,0,42,12,0,0,127,9,11,10,6
87391,0,110,17,15,0,223,3,40,9,49,1,5,4,60,0,0,0,142,53,50,15,7
59885,0,25,3,9,0,110,2,8,6,4,0,0,1,58,34,0,5,59,14,27,6,35
77160,1,56,8,6,0,168,0,9,6,12,2,0,4,53,25,0,7,145,33,24,1,4
76970,0,26,10,2,0,69,4,0,8,1,2,3,2,35,0,0,0,51,21,19,2,3
14267,0,32,8,3,0,134,4,9,6,13,4,2,0,31,6,0,3,82,25,36,62,93
10094,0,8,4,10,0,134,1,0,6,17,0,3,8,34,2,0,0,49,4,49,39,29
42137,0,21,17,6,0,119,2,7,6,5,2,5,3,41,20,0,3,91,16,31,10,11
79153,0,58,8,12,0,151,6,39,8,27,2,11,2,28,27,0,0,91,34,49,26,21
78675,14,21,22,0,0,249,0,4,2,7,3,0,1,43,8,0,0,190,13,8,2,2
68920,0,56,13,1,0,109,1,23,4,36,0,9,5,27,0,0,0,104,32,21,0,0
59843,0,13,15,0,0,70,5,1,6,1,2,0,1,49,3,0,2,75,12,17,9,6
69105,0,88,23,20,0,221,9,16,7,15,2,4,3,45,82,0,1,85,43,73,77,37
35007,0,13,12,0,0,94,5,8,4,0,1,0,1,39,12,0,2,65,12,16,132,116
65818,0,38,23,8,0,146,1,2,5,7,5,0,0,56,20,0,0,104,23,32,2,0
67010,1,24,10,7,0,128,1,2,9,1,1,2,1,48,12,0,2,81,13,32,15,18
67319,0,39,11,13,0,174,11,12,5,23,1,0,0,63,30,0,4,143,32,41,5,7
43554,11,27,23,0,0,464,9,24,7,6,2,0,0,59,32,0,8,145,24,23,89,43
77678,0,85,16,8,0,245,9,5,7,25,3,5,2,82,5,0,3,104,56,57,54,63
41865,0,9,5,0,0,476,0,14,1,0,2,0,0,64,2,0,0,82,1,203,8,8
2526,0,25,4,1,0,115,2,6,6,27,2,2,1,23,11,0,0,71,13,25,21,8
96366,0,31,28,0,0,64,0,0,1,0,0,0,1,76,4,0,0,116,29,11,69,23
47882,0,35,14,0,0,108,5,12,9,8,3,0,0,66,23,0,2,82,30,23,6,14
56089,1,48,11,6,0,279,3,13,6,13,1,1,14,52,47,0,0,159,35,67,11,1
44922,0,29,20,1,0,77,4,3,6,4,4,3,1,50,6,0,1,82,22,15,12,10
58333,0,56,7,23,0,359,13,2,6,19,0,0,0,87,90,0,0,210,48,72,36,77
64200,0,56,24,4,0,196,3,10,4,18,1,0,0,57,13,0,3,72,22,46,12,2
75276,0,41,27,13,0,125,4,2,4,8,2,4,1,38,0,0,0,73,28,29,0,7
48718,0,49,18,3,2,186,3,6,8,14,5,3,7,57,22,0,6,111,27,34,16,19
96771,0,35,6,6,0,125,2,15,6,7,1,1,2,50,14,0,6,98,20,22,18,25
4467,0,33,20,7,0,103,3,8,3,1,3,2,2,34,23,0,1,92,27,25,6,8
40520,0,22,14,4,0,127,0,4,4,0,3,0,5,61,24,0,1,114,19,19,15,8
26723,0,59,33,2,0,121,6,27,4,17,5,13,1,28,0,0,0,71,50,31,8,3
76704,0,45,17,5,0,137,1,2,3,9,3,1,2,35,31,0,0,85,32,31,21,16
74815,0,29,13,5,0,100,4,4,6,8,4,0,1,39,15,0,0,60,20,31,1,1
30865,2,28,11,5,0,188,16,3,5,9,2,2,1,44,1,0,1,63,26,40,0,10
55307,0,9,6,8,0,65,3,0,7,0,0,0,1,38,16,0,4,75,7,18,0,0
24673,0,77,33,25,0,443,4,3,7,3,4,0,1,111,45,0,0,177,65,110,29,30
44287,0,43,11,17,0,84,4,1,5,2,0,2,1,24,1,0,0,46,26,33,39,15
48042,0,11,11,2,0,50,6,0,9,0,2,2,1,19,0,0,1,50,11,19,6,12
43695,0,167,30,36,0,632,15,85,10,129,1,28,6,141,0,0,0,179,111,181,131,88
65124,0,68,11,10,0,148,3,28,8,35,5,23,0,40,0,0,0,76,47,47,20,9
30359,0,18,12,4,0,80,3,5,4,8,4,0,2,43,17,0,0,74,16,21,28,28
31090,0,21,6,0,0,150,1,14,4,18,2,21,9,38,53,0,2,86,14,25,10,9
45596,0,41,23,22,0,180,7,0,6,1,1,13,0,39,0,0,0,45,28,50,4,0
72674,0,41,4,29,0,239,6,8,5,11,8,2,7,36,109,0,6,51,27,62,1,7
65408,0,53,7,1,0,139,8,10,5,21,0,6,3,27,3,0,0,80,27,38,17,10
12476,2,36,17,3,0,246,2,2,3,5,2,1,4,57,7,0,17,89,28,52,24,10
54177,0,41,10,7,0,161,0,2,5,10,2,4,3,38,24,0,7,101,25,34,10,4
90476,0,46,8,0,0,187,0,1,3,0,4,0,2,55,6,0,0,68,6,71,81,196
82834,0,29,11,4,0,124,3,7,4,8,1,2,1,66,25,0,1,58,22,16,38,25
16857,0,23,6,3,0,103,9,5,7,7,0,0,0,38,9,0,1,57,22,31,2,7
18016,6,27,22,0,0,164,3,3,3,3,1,2,1,36,20,0,0,102,22,18,55,37
37901,0,28,4,11,0,237,0,2,4,28,3,19,37,35,7,0,2,76,5,77,22,12
13113,0,57,20,7,0,168,3,7,5,31,7,2,2,74,18,0,2,113,42,26,9,17
57558,0,68,34,7,0,179,2,5,4,0,1,2,8,98,31,0,3,148,54,37,15,10
10426,0,21,11,7,0,100,3,0,7,6,8,3,5,40,0,0,2,54,17,34,52,22
89815,0,41,23,8,0,86,5,2,3,7,1,3,1,56,37,0,0,68,36,32,8,1
32240,1,60,9,1,0,181,3,48,5,34,1,2,1,46,31,0,3,118,55,19,2,1
42941,0,23,10,11,0,107,4,5,5,6,4,0,0,33,7,0,3,65,17,28,3,4
60606,0,39,13,3,0,140,3,3,4,3,0,0,4,32,4,0,6,60,21,19,0,0
53789,0,33,19,4,0,154,6,3,4,11,4,0,1,74,20,0,1,90,23,40,49,24
70533,0,14,13,3,0,84,2,6,6,3,2,4,1,41,16,0,1,46,7,21,1,1
65616,0,35,13,0,0,94,3,1,3,0,2,0,1,60,1,0,0,83,27,22,4,9
40158,0,27,5,3,0,81,7,11,7,3,0,2,0,23,19,0,1,72,25,24,3,9
35861,0,43,19,5,0,112,8,11,4,1,0,0,0,54,20,0,1,101,35,34,105,13
63622,0,26,9,1,0,99,0,1,6,6,4,0,1,71,10,0,2,61,16,20,2,0
11944,0,17,8,0,0,67,8,0,6,0,0,2,0,26,0,0,0,51,12,25,7,6
25842,0,25,11,5,0,138,1,17,7,7,2,5,6,33,30,0,7,91,15,30,31,61
88718,0,44,4,62,0,707,4,5,5,64,2,6,2,88,128,0,0,100,39,164,44,12
2248,0,54,35,3,0,242,26,6,6,17,3,11,3,112,2,0,1,116,46,69,13,1
67388,1,96,43,11,0,333,9,4,5,8,1,5,0,122,7,0,0,131,72,69,8,38
25948,0,57,20,8,0,199,0,4,4,14,7,2,0,56,25,0,2,105,29,46,2,0
71605,0,53,15,16,0,418,6,12,7,22,1,13,13,99,77,0,0,124,26,168,2,1
79926,0,202,10,8,0,413,15,113,6,142,3,12,1,78,164,0,4,118,56,172,3,1
87488,0,74,17,12,0,276,1,0,5,8,0,0,1,45,51,0,0,81,22,77,97,157
20425,26,45,4,0,0,428,1,3,2,103,0,1,1,50,53,0,0,115,18,22,1,3
2199,0,29,16,3,0,78,1,3,7,5,5,0,2,20,2,0,2,58,16,19,13,2
37817,0,62,27,8,0,205,9,8,6,10,2,0,1,37,12,0,0,100,50,44,19,15
4082,0,53,9,8,0,289,9,17,7,38,1,10,2,81,107,0,6,157,37,67,17,3
93503,0,21,10,2,0,80,4,8,7,0,6,0,2,36,2,0,0,52,19,21,6,8
33526,0,76,21,6,0,133,9,0,4,16,1,0,0,14,52,0,1,79,26,36,1,1
59900,0,43,15,7,0,233,4,8,6,14,6,3,1,82,22,0,4,102,32,73,7,1
73351,0,30,11,8,0,87,3,4,8,2,2,8,0,23,15,0,0,45,17,25,0,2
5959,0,43,12,4,0,142,9,22,6,20,5,10,5,49,31,0,1,86,36,30,2,5
33666,3,29,12,6,0,167,1,8,2,5,3,1,16,74,12,0,1,82,18,53,61,54
45965,0,24,23,7,0,68,2,2,7,3,3,5,1,30,8,0,0,78,23,18,21,12
17943,0,34,29,34,0,211,0,13,3,4,2,3,0,46,19,0,0,44,34,52,3,10
60753,0,35,10,7,0,151,5,26,5,3,0,5,1,39,71,0,7,88,27,40,0,0
60040,0,34,14,2,0,131,6,9,9,13,3,3,2,50,16,0,1,102,32,31,1,7
11748,0,40,15,3,0,157,1,9,7,19,1,0,11,40,57,0,7,98,29,72,59,11
36795,0,42,11,16,0,193,2,20,6,20,1,1,3,37,13,0,0,70,14,63,1,11
90435,0,23,6,0,0,139,3,0,5,12,3,1,1,31,7,0,7,52,20,30,50,31
4287,1,30,9,3,0,98,3,2,4,0,3,2,1,46,4,0,0,68,25,28,14,19
43779,0,30,5,17,0,169,2,5,3,14,2,0,4,31,20,0,4,97,24,40,1,1
99311,0,31,18,5,0,103,2,3,7,7,4,4,4,40,8,0,0,72,29,25,23,11
65848,0,22,21,1,0,77,4,0,6,1,3,0,1,41,2,0,2,69,20,15,0,1
22891,0,52,30,3,0,191,2,0,5,1,0,1,7,38,3,0,1,92,35,34,11,4
7932,0,18,18,4,0,68,0,0,6,6,5,0,2,26,7,0,2,50,16,14,2,0
59316,0,161,6,11,0,313,27,280,7,211,0,23,0,25,18,0,0,96,16,90,1,2
97859,0,24,15,3,0,89,4,2,7,1,3,2,8,31,5,0,0,73,18,36,42,44
82204,0,52,14,0,0,174,8,11,5,78,1,3,0,69,67,0,1,86,48,38,12,18
12106,0,32,12,3,0,122,5,16,7,0,5,2,5,38,43,0,0,101,25,27,6,1
95685,0,24,4,8,0,108,1,13,5,12,2,19,5,37,43,0,2,60,15,35,45,12
4596,15,41,13,0,0,349,1,2,3,7,1,3,0,39,9,0,0,133,27,14,18,7
9229,1,25,12,4,0,92,7,0,5,1,5,0,0,44,0,0,0,68,25,20,151,163
87259,0,73,6,9,0,251,3,22,5,32,2,3,1,61,76,0,11,179,41,68,6,3
50695,0,48,11,6,0,175,3,15,5,8,3,3,5,59,65,0,3,76,30,45,16,7
24642,0,23,10,11,0,107,4,5,5,6,4,0,0,33,7,0,3,65,17,28,3,8
41847,0,34,25,1,0,135,0,5,3,2,4,2,5,66,5,0,2,100,22,26,37,18
3907,0,15,18,3,0,87,2,3,4,2,5,0,1,32,12,0,6,71,15,17,23,14
53941,1,26,34,1,0,143,0,3,3,11,0,2,1,44,34,0,5,162,8,30,24,6
52929,0,11,7,2,0,417,0,14,4,40,1,19,106,69,12,0,1,42,11,174,14,12
60851,1,16,4,1,2,165,4,5,8,5,0,0,2,49,29,0,5,142,14,41,11,1
84489,0,126,8,1,0,354,18,4,7,6,3,1,0,69,37,0,5,120,84,107,220,137
15516,0,27,7,12,0,137,1,7,3,6,0,11,14,34,15,0,10,70,10,36,28,3
997,11,43,15,2,0,366,0,2,2,8,1,0,0,34,8,0,2,175,9,8,13,4
91215,0,63,8,3,0,164,6,14,8,23,0,7,2,28,1,0,0,87,29,44,13,3
61421,0,39,20,7,0,144,0,6,4,24,3,4,18,38,25,0,5,105,27,35,60,8
22104,0,23,22,6,0,97,1,2,3,3,5,0,7,54,12,0,2,67,20,18,26,20
1035,0,20,7,9,0,87,0,0,4,19,1,4,2,26,2,0,0,88,12,35,238,83
23396,0,43,18,3,0,146,3,1,5,7,2,2,4,62,17,0,9,89,31,29,10,6
51679,0,13,11,0,1,100,2,0,6,1,1,0,0,32,13,0,11,56,9,20,9,11
57251,0,26,6,1,0,126,2,8,5,3,0,1,0,43,20,0,6,70,11,25,38,14
53792,0,13,10,5,0,85,4,15,6,1,2,4,0,34,46,0,2,95,12,30,35,59
81628,0,58,28,7,0,167,2,3,6,2,4,2,6,49,15,0,4,108,34,44,2,17
58549,3,67,2,3,0,288,6,5,7,18,1,3,0,60,61,0,3,154,13,59,3,9
3896,0,59,8,5,0,157,6,13,9,22,0,8,2,28,1,0,0,85,27,45,2,0
22201,0,44,6,3,0,187,3,3,6,18,1,1,0,57,17,0,2,47,44,25,4,2
90444,1,34,6,6,0,111,4,20,9,13,3,8,1,32,7,0,0,84,25,25,0,1
60928,0,36,16,3,0,137,1,15,4,8,4,0,9,57,40,0,0,119,27,28,12,3
40924,6,27,22,0,0,164,3,3,3,3,1,2,1,36,20,0,0,102,22,18,55,37
45792,0,68,15,10,0,288,7,6,6,56,3,8,5,66,7,0,5,93,40,59,0,0
32958,0,13,9,2,0,75,4,7,6,0,2,0,2,29,18,0,0,67,11,14,1,3
83099,0,22,13,2,0,102,0,1,5,1,10,2,1,41,3,0,4,88,13,24,6,2
22521,5,22,18,14,1,162,0,2,4,8,0,4,0,43,3,0,0,115,8,36,45,31
38618,0,7,4,7,0,415,0,8,3,52,1,1,63,34,243,0,0,91,5,142,30,17
1443,0,23,9,3,0,59,2,1,7,2,3,6,1,31,2,0,1,49,17,15,1,5
9553,18,22,12,0,0,297,1,10,5,6,0,1,2,60,31,0,4,179,11,27,36,8
76133,0,11,13,1,0,41,3,1,11,0,4,1,2,16,1,0,0,38,10,15,0,1
21402,0,96,50,3,3,327,4,6,4,7,3,0,1,126,19,0,0,182,84,53,91,119
61887,0,85,18,4,0,257,7,7,5,27,5,5,1,70,18,0,5,104,61,69,0,0
66791,0,50,16,4,0,105,0,0,3,1,6,4,1,51,0,0,0,74,20,39,1,3
90224,0,29,6,3,0,99,2,5,10,3,5,2,0,28,13,0,1,66,10,23,8,7
67361,0,53,34,9,0,201,16,17,6,15,0,6,0,44,30,0,1,88,32,67,20,7
34125,0,48,22,1,0,116,0,3,3,3,1,2,0,37,15,0,1,112,16,16,29,8
28755,3,34,14,2,0,121,2,1,3,5,1,0,1,49,17,0,2,120,11,12,32,10
77315,0,37,15,4,0,118,2,0,6,3,1,3,3,27,9,0,0,49,17,28,82,87
27588,0,30,16,3,0,140,3,15,6,10,1,2,2,65,21,0,2,79,26,35,6,0
99665,0,23,14,0,0,63,5,1,4,6,1,0,1,68,26,0,0,63,23,11,12,17
95281,0,21,3,53,0,221,10,4,4,33,2,1,1,21,50,0,0,58,18,83,12,1
63844,0,119,5,3,0,261,35,23,5,118,0,7,0,4,0,0,0,80,40,65,8,6
89522,2,24,13,0,0,115,6,5,6,7,1,0,0,43,5,0,1,77,22,16,19,10
56045,0,15,9,4,0,55,1,5,7,1,1,0,0,22,10,0,2,42,8,14,40,22
32536,0,18,8,23,0,82,0,31,7,67,3,10,3,14,1,0,0,32,14,30,2,1
98420,0,39,6,7,0,195,6,0,7,3,4,10,1,46,4,0,0,37,13,71,11,3
29036,0,24,14,0,0,92,6,4,8,5,3,2,1,51,3,0,1,64,20,27,6,17
46266,0,14,9,8,0,62,2,10,7,14,4,2,1,16,0,0,2,63,13,20,6,2
61993,0,60,23,5,0,147,2,4,5,4,5,7,0,68,45,0,0,120,37,86,18,46
65497,0,40,12,6,2,190,2,4,4,8,1,1,0,73,18,0,1,86,24,44,30,6
87472,1,15,10,2,0,116,4,11,5,6,1,1,11,52,28,0,4,119,8,31,16,4
54555,0,31,9,0,0,204,4,15,7,15,0,3,0,36,21,0,14,77,11,42,16,9
86685,0,29,6,10,0,109,4,40,6,33,5,6,2,15,0,0,4,42,15,36,31,9
14265,0,45,3,22,0,198,10,22,7,35,0,1,8,10,2,0,0,51,23,49,1,1
2201,0,565,36,60,0,1332,2,18,3,423,0,8,0,74,11,0,14,122,51,311,60,36
85324,0,74,11,1,0,207,0,1,1,2,2,71,105,116,31,0,0,127,4,199,6,20
34452,0,60,15,22,0,363,1,20,5,31,0,2,1,41,11,0,1,93,51,105,2,18
5732,0,36,5,15,0,253,0,2,4,40,3,33,38,38,5,0,2,88,7,85,29,22
13181,0,49,37,28,0,552,0,10,6,5,1,8,13,56,32,0,0,147,24,188,101,23
97613,0,13,12,3,0,57,4,0,7,5,0,1,0,27,1,0,0,39,10,12,0,0
72011,0,21,9,4,0,114,0,6,5,6,2,2,3,57,10,0,0,60,18,24,4,3
63818,0,41,6,5,0,185,0,32,4,5,0,0,0,38,39,0,5,89,12,43,23,6
98283,0,565,36,60,0,1332,2,18,3,423,0,8,0,74,11,0,14,122,51,311,60,33
83180,1,53,40,2,0,209,8,10,4,1,0,2,1,80,18,0,0,144,35,46,11,4
89738,0,33,14,3,0,148,6,14,8,6,2,8,0,36,59,0,1,66,23,37,3,1
51774,1,46,12,12,0,141,2,3,4,24,4,12,2,37,4,0,0,97,35,33,54,24
47079,0,11,7,8,0,153,1,9,4,2,2,0,16,44,119,0,2,64,8,36,14,14
83383,0,34,9,4,0,125,2,10,6,10,2,1,0,37,31,0,0,82,21,37,6,2
88049,0,74,15,2,0,223,19,21,6,37,1,7,0,24,0,0,0,63,59,48,30,26
20604,2,70,7,3,0,239,1,0,5,12,1,1,3,36,19,0,1,99,28,28,1,0
22849,0,25,26,31,0,309,1,19,5,0,0,1,3,38,67,0,0,66,24,64,27,13
78599,3,34,3,1,0,196,2,5,9,11,0,3,0,43,20,0,5,80,22,22,7,0
